Age 	 GS
5.417751299999999901e+03	1.761649999999999920e+02
5.417777200000000448e+03	1.790040000000000191e+02
5.417803600000000188e+03	1.819620000000000175e+02
5.417830399999999827e+03	1.843490000000000180e+02
5.417857700000000477e+03	1.862969999999999970e+02
5.417885500000000320e+03	1.877120000000000175e+02
5.417913900000000467e+03	1.889859999999999900e+02
5.417942500000000109e+03	1.898449999999999989e+02
5.417971999999999753e+03	1.901559999999999775e+02
5.418001999999999498e+03	1.896800000000000068e+02
5.418032699999999750e+03	1.884530000000000030e+02
5.418064100000000508e+03	1.860870000000000175e+02
5.418096099999999751e+03	1.829340000000000259e+02
5.418128499999999804e+03	1.799230000000000018e+02
5.418161900000000060e+03	1.781719999999999970e+02
5.418196100000000115e+03	1.766490000000000009e+02
5.418230999999999767e+03	1.753580000000000041e+02
5.418266700000000128e+03	1.740130000000000052e+02
5.418302899999999681e+03	1.720920000000000130e+02
5.418340199999999641e+03	1.704180000000000064e+02
5.418378400000000511e+03	1.693470000000000084e+02
5.418417500000000473e+03	1.687980000000000018e+02
5.418460299999999734e+03	1.691399999999999864e+02
5.418509000000000015e+03	1.693870000000000005e+02
5.418562300000000505e+03	1.695729999999999791e+02
5.418620399999999790e+03	1.700990000000000180e+02
5.418681999999999789e+03	1.710149999999999864e+02
5.418746500000000196e+03	1.723490000000000180e+02
5.418813100000000304e+03	1.741970000000000027e+02
5.418880900000000111e+03	1.754170000000000016e+02
5.418948599999999715e+03	1.763490000000000180e+02
5.419016700000000128e+03	1.768499999999999943e+02
5.419083800000000338e+03	1.773120000000000118e+02
5.419149199999999837e+03	1.775959999999999752e+02
5.419212099999999737e+03	1.769770000000000039e+02
5.419271700000000237e+03	1.758600000000000136e+02
5.419327199999999721e+03	1.749679999999999893e+02
5.419377500000000509e+03	1.740609999999999786e+02
5.419422700000000077e+03	1.741220000000000141e+02
5.419464500000000044e+03	1.744850000000000136e+02
5.419505299999999806e+03	1.747529999999999859e+02
5.419545100000000275e+03	1.752400000000000091e+02
5.419584000000000742e+03	1.760640000000000214e+02
5.419621699999999691e+03	1.767369999999999948e+02
5.419658900000000358e+03	1.778190000000000168e+02
5.419695300000000316e+03	1.791709999999999923e+02
5.419730900000000474e+03	1.804929999999999950e+02
5.419765699999999924e+03	1.811599999999999966e+02
5.419799899999999980e+03	1.816459999999999866e+02
5.419833099999999831e+03	1.816190000000000282e+02
5.419865899999999783e+03	1.817170000000000130e+02
5.419898199999999633e+03	1.823750000000000000e+02
5.419929900000000089e+03	1.827350000000000136e+02
5.419961100000000442e+03	1.830040000000000191e+02
5.419991500000000087e+03	1.840790000000000077e+02
5.420021800000000439e+03	1.846479999999999961e+02
5.420051699999999983e+03	1.848040000000000020e+02
5.420081100000000333e+03	1.845390000000000157e+02
5.420110300000000279e+03	1.842729999999999961e+02
5.420139100000000326e+03	1.837779999999999916e+02
5.420167400000000271e+03	1.831080000000000041e+02
5.420195800000000418e+03	1.818129999999999882e+02
5.420224000000000160e+03	1.800399999999999920e+02
5.420251999999999498e+03	1.781779999999999973e+02
5.420279900000000453e+03	1.762599999999999909e+02
5.420307700000000295e+03	1.747599999999999909e+02
5.420335200000000441e+03	1.728770000000000095e+02
5.420362900000000081e+03	1.713040000000000020e+02
5.420390699999999924e+03	1.706250000000000000e+02
5.420418499999999767e+03	1.701209999999999809e+02
5.420446300000000520e+03	1.703559999999999945e+02
5.420474000000000160e+03	1.710009999999999764e+02
5.420501500000000306e+03	1.722800000000000011e+02
5.420528599999999642e+03	1.733449999999999989e+02
5.420555900000000292e+03	1.741740000000000066e+02
5.420582900000000336e+03	1.751870000000000118e+02
5.420609900000000380e+03	1.761069999999999993e+02
5.420636700000000019e+03	1.773909999999999911e+02
5.420663300000000163e+03	1.795670000000000073e+02
5.420689500000000407e+03	1.812270000000000039e+02
5.420715900000000147e+03	1.823740000000000236e+02
5.420742100000000391e+03	1.830340000000000202e+02
5.420768200000000434e+03	1.831999999999999886e+02
5.420794100000000071e+03	1.827369999999999948e+02
