Distance (mm)	Ba/Ca (uM/M)	Cu/Ca (uM/M)	Ni/Ca  (uM/M)	Co/Ca (uM/M)	Zn/Ca (uM/M)	Sr/Ca  (mM/M)	P/Ca (mM/M)	Mg/Ca (mM/M)	U/Ca (uM/M)	Br/Ca (mM/m)	Pb/Ca (uM/M)	Al/Ca  (mM/M)	Fe/Ca (uM/M)	Mn/Ca  (uM/M)	Na/Ca  (mM/M)	Age (yrs BP)	Age (kyr BP)
4.824	1.12	2.99	6.75	0.21	10.46	0.77	1.51	4.37	0.09	0.96	0.41	0.048	19.60	0.48	0.30	5424.4832	5.4245
4.851	1.06	2.86	5.80	0.00	8.82	0.76	1.49	4.82	0.14	0.96	0.47	0.033	8.78	0.26	0.43	5424.5963	5.4246
4.878	1.42	5.44	14.75	0.00	13.80	0.78	1.18	4.78	0.09	0.94	0.46	0.070	15.80	1.01	0.44	5424.7036	5.4247
4.905	0.96	5.22	27.44	0.12	13.41	0.79	1.30	4.51	0.13	1.10	0.75	0.049	19.80	0.64	0.46	5424.8027	5.4248
4.932	1.16	3.75	7.42	0.00	11.23	0.82	1.41	5.04	0.11	1.05	0.71	0.059	13.82	0.66	0.41	5424.8911	5.4249
4.959	0.94	2.75	6.26	0.00	12.23	0.80	1.06	5.27	0.10	0.86	0.63	0.042	8.07	0.38	0.44	5424.9663	5.4250
4.986	0.88	4.86	7.94	0.00	13.55	0.77	1.13	4.82	0.11	1.05	0.60	0.008	11.95	0.58	0.39	5425.0273	5.4250
5.013	0.88	4.11	3.05	0.21	7.49	0.72	1.37	4.45	0.11	0.66	0.46	0.023	8.93	0.20	0.39	5425.0832	5.4251
5.040	1.25	3.00	6.85	0.11	11.50	0.80	1.30	5.50	0.16	0.80	0.45	0.034	17.16	0.37	0.36	5425.1361	5.4251
5.068	1.06	1.83	5.76	0.00	14.04	0.86	0.94	7.19	0.12	0.71	0.62	0.047	9.83	0.29	0.40	5425.1881	5.4252
5.095	1.62	2.82	7.00	0.26	19.42	0.88	0.97	7.10	0.12	0.57	0.72	0.036	15.31	0.55	0.41	5425.2357	5.4252
5.122	1.30	4.13	5.33	0.23	12.69	0.81	0.79	5.62	0.12	0.70	0.62	0.029	8.66	0.39	0.32	5425.2809	5.4253
5.149	0.63	4.09	5.49	0.00	12.62	0.77	0.86	5.89	0.08	0.56	0.67	0.035	12.23	0.51	0.36	5425.324	5.4253
5.176	0.78	2.44	6.16	0.00	11.15	0.77	1.35	5.97	0.14	0.55	0.54	0.019	16.08	0.83	0.34	5425.365	5.4254
5.203	1.25	3.21	6.62	0.12	16.05	0.79	1.08	6.26	0.12	0.57	1.03	0.016	16.18	0.89	0.37	5425.4042	5.4254
5.230	1.39	3.24	8.85	0.12	6.59	0.76	0.98	6.28	0.13	0.69	0.70	0.022	20.79	0.53	0.42	5425.4418	5.4254
5.257	1.27	4.91	13.96	0.00	11.11	0.80	0.82	6.99	0.18	0.55	0.63	0.085	26.59	0.67	0.46	5425.4779	5.4255
5.284	1.06	2.23	4.02	0.00	7.84	0.76	0.81	6.69	0.12	0.46	0.34	0.052	9.28	0.38	0.49	5425.5128	5.4255
5.311	0.81	2.32	3.37	0.11	8.83	0.77	1.18	5.65	0.12	0.43	0.48	0.021	9.19	2.17	0.27	5425.5466	5.4255
5.338	0.96	1.98	2.61	0.00	6.30	0.71	1.04	4.80	0.13	0.61	0.33	0.025	6.58	0.25	0.27	5425.5794	5.4256
5.365	1.30	1.94	4.60	0.00	7.11	0.86	1.20	5.89	0.16	0.72	0.31	0.011	12.51	0.31	0.29	5425.6116	5.4256
5.392	0.85	2.72	1.84	0.00	4.79	0.82	1.04	5.96	0.10	0.72	0.18	0.033	3.47	0.13	0.27	5425.6432	5.4256
5.419	1.38	1.91	2.27	0.00	4.97	0.89	0.97	7.01	0.14	0.86	0.25	0.008	5.32	0.42	0.32	5425.6744	5.4257
5.446	1.10	1.84	5.61	0.23	6.77	0.89	1.01	6.80	0.13	0.88	0.38	0.056	7.85	0.42	0.40	5425.7054	5.4257
5.473	1.47	2.96	8.85	0.22	7.66	0.84	1.01	7.83	0.10	0.62	0.69	0.012	13.23	0.08	0.44	5425.7365	5.4257
5.500	0.90	4.25	6.42	0.00	11.57	0.78	0.75	7.31	0.09	0.51	0.47	0.032	13.87	0.60	0.41	5425.7677	5.4258
5.527	1.34	3.96	4.73	0.00	12.21	0.80	0.82	6.01	0.08	0.69	0.69	0.011	10.44	0.53	0.34	5425.7993	5.4258
5.554	1.32	4.81	6.38	0.21	16.28	0.79	1.56	4.76	0.09	0.60	0.55	0.026	7.99	0.89	0.43	5425.8314	5.4258
5.582	0.80	4.44	4.14	0.21	10.60	0.77	1.60	4.70	0.15	0.53	0.54	0.017	7.21	0.45	0.38	5425.8655	5.4259
5.609	1.20	3.54	5.59	0.11	9.67	0.81	1.49	4.70	0.12	0.48	0.51	0.038	10.02	0.85	0.36	5425.8993	5.4259
5.636	1.08	3.54	3.39	0.44	8.19	0.81	0.83	5.21	0.13	0.61	0.38	0.054	56.60	2.98	0.32	5425.9342	5.4259
5.663	1.12	2.01	3.22	0.34	7.80	0.88	0.97	6.37	0.14	0.69	0.25	0.032	16.18	0.77	0.32	5425.9703	5.4260
5.690	1.33	1.49	2.87	0.00	6.82	0.88	0.90	7.70	0.17	0.70	0.35	0.035	7.69	0.35	0.36	5426.0079	5.4260
5.717	0.82	1.46	2.97	0.00	6.00	0.86	0.68	8.26	0.13	0.53	0.23	0.071	14.01	0.44	0.38	5426.0455	5.4260
5.744	1.06	1.96	1.55	0.00	6.88	0.87	0.88	7.28	0.13	0.33	0.28	0.009	4.61	0.36	0.31	5426.0827	5.4261
5.771	1.08	2.18	3.84	0.32	7.76	0.80	1.11	6.41	0.09	0.69	0.38	0.027	20.49	0.39	0.49	5426.1195	5.4261
5.798	1.09	2.63	3.72	0.00	12.66	0.83	1.15	6.52	0.09	0.80	0.39	0.024	34.35	0.47	0.34	5426.1561	5.4262
5.825	1.05	3.59	3.29	0.00	9.91	0.83	1.18	5.74	0.10	0.89	0.44	0.069	16.51	0.54	0.32	5426.1925	5.4262
5.852	1.09	2.65	2.42	0.00	8.07	0.82	1.30	5.76	0.11	0.83	0.39	0.014	7.93	0.36	0.33	5426.2287	5.4262
5.879	0.92	2.62	2.68	0.00	9.98	0.82	1.55	4.91	0.13	0.98	0.34	0.138	14.54	0.39	0.25	5426.2649	5.4263
5.906	1.09	2.59	1.82	0.00	6.74	0.87	1.22	5.05	0.12	1.10	0.58	0.012	7.53	0.18	0.27	5426.301	5.4263
5.933	0.86	2.81	3.56	0.11	9.56	0.85	1.12	5.30	0.12	0.75	0.48	0.068	17.41	0.55	0.44	5426.3373	5.4263
5.960	1.31	3.79	5.77	0.12	21.07	0.81	1.14	5.76	0.10	0.62	0.40	0.064	26.71	0.61	0.40	5426.3737	5.4264
5.987	1.20	2.74	3.29	0.12	8.57	0.79	0.98	5.53	0.11	0.76	0.71	0.016	12.30	0.54	0.30	5426.4103	5.4264
6.014	1.13	3.99	4.73	0.00	8.72	0.78	1.12	5.95	0.09	0.55	0.38	0.065	15.18	0.65	0.35	5426.4472	5.4264
6.041	1.34	4.70	6.10	0.27	10.64	0.81	1.18	5.71	0.09	0.70	0.82	0.065	19.16	0.61	0.39	5426.4845	5.4265
6.068	0.99	5.34	8.42	0.14	11.48	0.76	1.12	5.92	0.09	0.78	0.57	0.381	48.33	0.72	0.51	5426.5222	5.4265
6.095	0.97	2.87	9.92	0.00	10.72	0.72	1.02	6.26	0.09	0.66	0.50	0.071	42.23	0.76	0.33	5426.5605	5.4266
6.123	1.35	3.80	5.40	0.13	8.01	0.74	1.09	5.98	0.08	0.65	0.45	0.090	16.34	0.67	0.39	5426.6007	5.4266
6.150	0.97	6.84	18.43	0.13	10.48	0.69	0.92	6.24	0.10	0.66	0.82	0.045	57.67	0.72	0.48	5426.6402	5.4266
6.177	1.91	4.46	18.67	0.14	11.08	0.76	1.02	6.30	0.11	0.70	0.47	0.069	39.33	0.31	0.75	5426.6805	5.4267
6.204	1.12	4.47	8.49	0.00	9.45	0.72	1.21	6.29	0.13	0.67	0.50	0.072	49.45	0.39	0.73	5426.7215	5.4267
6.231		4.00	8.03	0.14	8.15	0.74	0.99	6.83	0.14	0.52	0.67	0.194	180.31	0.84	0.54	5426.7634	5.4268
6.258	1.33	6.18	19.00	0.00	22.15	0.77	1.00	7.05	0.14	0.75	1.52	0.136	29.63	0.76	0.53	5426.8062	5.4268
6.285	1.40	2.62	6.05	0.14	10.28	0.69	1.19	6.88	0.12	0.64	0.32	0.125	25.23	0.79	0.62	5426.85	5.4269
6.312	1.33	5.41	15.19	0.00	16.60	0.80	1.00	6.74	0.16	0.84	0.64	0.047	20.32	0.43	1.03	5426.895	5.4269
6.339	1.05	3.83	5.58	0.27	11.01	0.72	1.02	7.61	0.14	0.88	0.39	0.069	16.37	0.66	0.73	5426.9411	5.4269
6.366	2.73	4.54	12.34	0.27	13.43	0.72	0.85	7.47	0.12	0.80	0.50	0.879	19.81	0.55	0.57	5426.9884	5.4270
6.393	1.48	3.39	6.99	0.00	12.43	0.75	0.91	8.32	0.12	0.85	0.46	0.088	27.22	1.14	0.69	5427.0378	5.4270
6.420	1.02	3.64	7.88	0.14	10.27	0.72	0.65	7.86	0.14	0.61	0.57	0.137	32.95	0.80	0.49	5427.0906	5.4271
6.447	1.48	7.51	29.78	0.00	21.28	0.69	0.76	8.35	0.12	0.76	0.71	0.137	32.42	0.68	0.80	5427.1464	5.4271
6.474	1.11	8.86		0.00	20.99	0.67	0.87	8.45	0.15	0.56	0.45	0.125	21.86	0.54	0.74	5427.205	5.4272
6.501	1.61	2.91	7.83	0.14	6.89	0.65	0.63	7.79	0.13	0.80	0.36	0.095	17.02	0.47	0.45	5427.2658	5.4273
6.528	1.04	2.27	2.82	0.00	5.99	0.74	0.70	9.01	0.12	0.61	0.25	0.031	21.12	0.35	0.49	5427.3287	5.4273
6.555	1.43	2.81	3.07	0.25	8.90	0.74	0.60	7.42	0.12	0.64	1.79	0.017	11.93	0.68	0.33	5427.393	5.4274
6.582	1.21	3.23	5.83	0.00	11.78	0.69	0.60	8.92	0.12	0.71	0.73	0.084	44.17	0.85	0.52	5427.4586	5.4275
6.609	1.51	4.17	7.89	0.11	15.60	0.71	0.60	7.48	0.09	0.81	0.75	0.086	53.53	1.18	0.45	5427.525	5.4275
6.636	1.15	4.98	5.12	0.00	15.90	0.75	0.67	8.18	0.10	0.73	0.69	0.088	16.60	0.61	0.39	5427.5918	5.4276
6.664	1.22	5.87	5.47	0.11	12.19	0.73	0.84	7.28	0.09	0.52	0.61	0.056	27.26	0.74	0.39	5427.6611	5.4277
6.691	0.64	3.06	4.29	0.12	10.88	0.86	1.06	5.76	0.12	0.76	0.45	0.046	17.16	0.94	0.41	5427.7277	5.4277
6.718	1.33	4.55	5.99	0.12	11.57	0.85	1.15	6.00	0.13	0.49	0.49	0.095	22.00	0.65	0.36	5427.7935	5.4278
6.745	0.92	2.76	3.74	0.36	11.66	0.79	1.28	6.16	0.12	0.54	0.65	0.038	32.23	0.31	0.31	5427.8583	5.4279
6.772	1.35	2.78	5.73	0.00	16.06	0.82	1.06	5.74	0.09	0.87	1.05	0.056	22.33	0.88	0.36	5427.9216	5.4279
6.799	2.28	4.02	4.00	0.24	10.85	0.84	1.38	5.76	0.15	0.71	0.41	0.055	5.97	0.59	1.14	5427.9831	5.4280
6.826	1.15	3.15	2.36	0.11	7.80	0.78	1.19	5.67	0.14	0.78	0.45	0.008	16.02	0.44	0.30	5428.0432	5.4280
6.853	1.24	3.64	2.82	0.21	11.76	0.80	1.39	6.05	0.10	0.94	0.52	0.034	8.79	0.56	0.30	5428.1037	5.4281
6.880	1.15	2.44	4.83	0.00	11.98	0.77	1.28	6.19	0.09	0.68	0.56	0.068	14.96	0.72	0.33	5428.1645	5.4282
6.907	1.10	3.29	3.31	0.11	15.95	0.79	1.27	5.11	0.09	0.76	0.44	1.429	13.28	0.52	0.35	5428.2256	5.4282
6.934	0.85	2.48	3.04	0.00	13.38	0.73	1.20	4.40	0.08	0.88	0.47	0.030	11.61	1.70	0.26	5428.2868	5.4283
6.961	0.66	3.50	3.13	0.00	12.85	0.76	1.52	5.26	0.09	0.97	0.53	0.016	17.73		0.27	5428.348	5.4283
6.988	1.05	5.01	4.74	0.00	13.28	0.70	1.59	4.70	0.11	0.99	0.76	0.027	27.51		0.31	5428.4092	5.4284
7.015	0.77	4.61	4.37	0.21	12.17	0.72	1.50	5.18	0.09	0.70	0.63	0.122	22.19	1.81	0.41	5428.4702	5.4285
7.042	0.76	5.06	2.99	0.00	13.60	0.75	1.43	4.94	0.12	0.85	0.49	0.017	11.90	0.72	0.34	5428.531	5.4285
7.069	1.09	3.99	1.74	0.00	6.44	0.87	1.12	6.39	0.11	0.81	0.32	0.069	20.39	0.57	0.38	5428.5914	5.4286
7.096	0.77	5.25	2.66	0.00	20.45	0.92	0.83	7.98	0.15	0.79	0.39	0.021	9.78	0.31	0.40	5428.6514	5.4287
7.123	0.85	5.79	1.68	0.00	11.32	0.91	1.18	7.77	0.12	0.68	0.33	0.066	7.06	0.63	0.40	5428.7109	5.4287
7.150	0.83	4.86	2.50	0.00	7.72	0.87	0.95	6.06	0.09	0.73	0.39	0.002	4.40	0.29	0.31	5428.7698	5.4288
7.178	1.16	5.65	4.16	0.32	10.04	0.90	1.07	6.85	0.10	1.03	0.45	0.027	19.72	0.67	0.37	5428.8301	5.4288
7.205	0.96	6.79	7.86	0.44	11.03	0.90	1.17	5.96	0.10	0.93	0.68	0.044	50.23	0.51	0.41	5428.8875	5.4289
7.232	0.84		1.95	0.00	5.62	0.81	1.13	4.84	0.09	0.89	0.30	0.023	11.06	0.36	0.33	5428.9439	5.4289
7.259	0.98	3.52	2.09	0.21	6.97	0.80	1.00	4.57	0.11	0.98	0.31	0.005	6.46	0.30	0.27	5428.9993	5.4290
7.286	0.81	3.72	4.77	0.00	7.08	0.81	0.96	5.10	0.10	0.98	0.32	0.067	13.12	0.30	0.37	5429.054	5.4291
7.313	0.79	2.66	8.44	0.00	7.92	0.92	0.95	5.72	0.10	1.07	0.36	0.021	12.75	0.15	0.37	5429.1085	5.4291
7.340	0.95	1.87	1.85	0.00	5.07	0.89	0.73	7.70	0.11	0.71	0.19	0.055	6.25	0.27	0.40	5429.1627	5.4292
7.367	1.07	2.18	1.06	0.00	2.54	0.93	0.49	8.87	0.12	1.04	0.18	0.005	19.78	0.05	0.41	5429.2165	5.4292
7.394	1.03	0.57	1.17	0.00	3.00	0.92	0.56	7.64	0.12	1.11	0.09	0.012	3.78	0.38	0.34	5429.2701	5.4293
7.421	1.13	2.83	2.07	0.00	4.14	0.90	0.75	7.40	0.10	0.97	0.24	0.012	3.76	0.15	0.26	5429.3234	5.4293
7.448	0.82	3.32	5.08	0.00	11.62	0.84	0.91	6.36	0.09	1.27	0.32	0.040	23.41	0.57	0.39	5429.3764	5.4294
7.475	0.88	2.22	2.78	0.00	7.48	0.89	0.83	7.24	0.10	1.35	0.30	0.032	13.01	0.12	0.43	5429.4291	5.4294
7.502	0.91	2.23	2.72	0.22	5.09	0.86	0.61	6.90	0.13	1.46	0.32	0.095	10.97	0.32	0.38	5429.4816	5.4295
7.529	0.95	2.28	0.99	0.00	3.29	0.87	0.70	7.15	0.11	0.90	0.27	0.029	3.55	0.15	0.44	5429.5337	5.4295
7.556	1.00	3.05	2.42	0.00	6.49	0.84	0.84	7.48	0.09	1.23	0.31	0.028	13.19	0.34	0.34	5429.5855	5.4296
7.583	0.99	1.91	3.04	0.00	5.41	0.86	0.66	7.94	0.13	1.12	0.23	0.019	13.68	0.05	0.58	5429.6371	5.4296
7.610	1.24	2.91	4.31	0.00	6.02	0.88	0.69	8.74	0.13	1.27	0.23	0.023	14.47	0.61	0.49	5429.6883	5.4297
7.637	1.12	2.76	1.65	0.00	4.26	0.95	0.65	9.74	0.14	1.22	0.14	0.005	7.11	0.19	0.48	5429.7392	5.4297
7.664	1.04	7.86	2.29	0.00	5.74	0.94	0.63	11.38	0.11	0.88	0.23	0.029	7.77	0.26	0.53	5429.7898	5.4298
7.691	0.96	1.83	1.66	0.00	4.75	0.86	0.61	10.24	0.08	1.07	0.08	0.027	5.72	0.47	0.44	5429.8402	5.4298
7.719	1.37	3.14	9.18	0.11	10.56	0.89	0.60	10.60	0.10	0.78	0.49	0.002	20.88	0.39	0.39	5429.892	5.4299
7.746	1.84	5.35	11.74	0.10	16.03	0.81	0.57	10.09	0.10	0.99	0.42	0.076	41.08	0.45	0.49	5429.9417	5.4299
7.773	1.15	4.85	15.90	0.00	13.00	0.81	0.65	7.62	0.10	0.98	0.51	0.126	47.37	0.88	0.57	5429.9911	5.4300
7.800	1.08	2.32	7.36	0.12	13.55	0.79	1.18	6.35	0.10	0.69	0.32	0.049	18.37	0.57	0.43	5430.0398	5.4300
7.827	1.20	6.66	18.73	0.26	33.52	0.79	1.21	6.51	0.09	1.01	0.62	0.092	61.28	1.05	0.44	5430.087	5.4301
7.854	0.99	3.51	5.73	0.00	15.40	0.69	1.06	7.15	0.12	0.74	0.41	0.081	20.90	0.90	0.48	5430.1329	5.4301
7.881	2.77	3.73	5.31	0.00	15.43	0.74	1.20	6.96	0.11	0.88	0.91	0.097	27.50	0.66	0.49	5430.1778	5.4302
7.908	1.68	6.08	21.50	0.41	36.01	0.73	1.43	6.54	0.10	0.83	0.91	0.243	59.98	1.43	0.46	5430.2218	5.4302
7.935	1.32	8.45	24.30	0.15	26.09	0.70	1.46	7.48	0.10	0.89	1.33	0.173	149.43	1.27	0.68	5430.2652	5.4303
7.962	1.28	6.92	7.34	0.15	17.39	0.71	1.35	7.35	0.09	0.74	0.56	0.181	40.55	1.13	0.62	5430.3082	5.4303
7.989	1.57	3.78	8.71	0.28	18.36	0.70	1.18	7.25	0.08	0.90	0.99	0.085	45.02	1.24	0.51	5430.3511	5.4304
8.016	1.71	4.64	9.45	0.41	23.95	0.74	1.10	7.31	0.10	0.83	1.36	0.194	65.70	1.39	0.59	5430.3941	5.4304
8.043	0.90	4.00	7.34	0.00	26.20	0.75	1.07	7.45	0.11	0.56	0.77	0.112	25.34	0.62	0.61	5430.4373	5.4304
8.070	1.46	3.76	3.88	0.00	15.47	0.84	0.96	7.53	0.14	0.73	0.63	0.080	11.78	0.53	0.48	5430.4811	5.4305
8.097	1.66	5.77	10.92	0.24	23.78	0.82	0.85	7.44	0.13	0.59	0.90	0.090	36.39	1.13	0.46	5430.5257	5.4305
8.124	1.93	6.95	13.10	0.62	30.12	0.87	0.86	8.88	0.13	0.58	0.95	0.146	44.60	1.63	0.53	5430.5712	5.4306
8.151	2.89	4.57	9.12	0.49	19.84	0.78	0.99	6.84	0.08	0.51	0.98	0.320	82.57	0.97	0.66	5430.6179	5.4306
8.178	1.65	4.94	8.81	0.37	34.25	0.78	1.41	7.78	0.08	0.61	0.97	0.153	62.59	1.41	0.66	5430.6661	5.4307
8.205	1.22	2.81	3.62	0.12	13.97	0.78	1.18	6.14	0.09	0.52	0.79	0.037	15.81	0.92	0.40	5430.7159	5.4307
8.232	1.39	5.04	7.34	0.12	20.02	0.77	1.10	4.98	0.11	0.66	0.87	0.097	46.67	1.73	0.45	5430.7676	5.4308
8.260	1.36	3.39	4.61	0.00	16.15	0.71	1.44	5.54	0.11	0.70	0.64	0.106	21.52	1.86	0.42	5430.8235	5.4308
8.287		6.65	10.18	0.29	14.78	0.72	1.48	5.72	0.10	0.59	1.10	0.109	37.59	1.15	0.57	5430.8798	5.4309
8.314	1.13	2.36	3.57	0.00	6.53	0.71	1.30	4.75	0.12	0.59	0.64		22.17	0.99	0.57	5430.9387	5.4309
8.341	1.49	2.30	3.03	0.00	5.24	0.67	1.11	4.62	0.10	0.69	0.50	0.016	15.38	0.58	0.27	5431.0003	5.4310
8.368	0.99	3.15	4.89	0.12	9.96	0.74	1.23	5.59	0.15	0.63	0.60	0.051	29.15	0.56	0.44	5431.0676	5.4311
8.395	1.15	2.90	5.16	0.00	8.41	0.72	1.22	5.49	0.12	1.02	0.57	0.075	24.14	0.70	0.43	5431.1422	5.4311
8.422	0.87	3.57	5.28	0.00	7.82	0.75	1.25	4.94	0.09	0.72	0.49	0.058	18.37	0.78	0.35	5431.2229	5.4312
8.449	1.31	4.10	2.65	0.11	10.55	0.76	1.33	4.65	0.12	0.75	0.52	0.047	11.60	0.41	0.24	5431.3089	5.4313
8.476	1.15	3.35	4.39	0.10	24.67	0.82	1.18	4.59	0.12	0.84	0.35	0.032	20.24	0.24	0.37	5431.3991	5.4314
8.503	1.28	1.95	1.46	0.11	6.24	0.88	1.10	6.43	0.14	0.55	0.30	0.019	12.07	0.92	0.35	5431.4924	5.4315
8.530	0.87	1.34	2.67	0.00	3.11	0.90	0.76	7.08	0.17	0.35	0.20	0.042	10.53	0.29	0.39	5431.588	5.4316
8.557	1.06	1.75	1.74	0.11	6.14	0.84	0.61	6.11	0.17	0.69	0.32	0.015	15.77	0.28	0.27	5431.6846	5.4317
8.584	1.00	1.16	1.27	0.00	3.93	0.85	0.79	7.29	0.12	0.60	0.16	0.065	9.46	0.12	0.32	5431.7814	5.4318
8.611	0.74	1.47	2.12	0.00	6.50	0.85	0.85	7.06	0.14	0.70	0.34	0.019	12.78	0.41	0.26	5431.8773	5.4319
8.638	0.82	2.03	2.37	0.00	4.43	0.79	0.92	5.96	0.18	0.77	0.27	0.015	11.53	0.09	0.28	5431.9713	5.4320
8.665	1.04	2.86	4.42	0.11	9.15	0.82	0.82	6.01	0.15	0.82	0.42	0.028	26.08	0.32	0.41	5432.0635	5.4321
8.692	0.89	0.78	2.05	0.12	4.27	0.86	0.76	6.87	0.15	0.75	0.26	0.392	25.27	0.09	0.72	5432.1566	5.4322
8.719	1.09	1.06	2.76	0.11	6.30	0.83	0.66	6.20	0.12	0.55	0.64	0.002	20.44	0.19	0.32	5432.251	5.4323
8.746	0.86	2.64	3.97	0.23	10.12	0.82	0.93	6.85	0.16	0.65	0.40	0.067	12.06	0.72	0.46	5432.3466	5.4323
8.774	1.27	2.78	3.08	0.00	7.67	0.81	0.94	6.38	0.13	0.53	0.51	0.022	10.45	0.16	0.29	5432.4471	5.4324
8.801	0.90	2.18	3.27	0.11	8.98	0.77	1.35	5.70	0.10	0.58	0.45	0.030	16.83	0.24	0.32	5432.5454	5.4325
8.828	0.79	1.57	3.30	0.11	8.52	0.75	1.38	4.91	0.09	0.75	0.76	0.015	10.49	0.15	0.29	5432.6449	5.4326
8.855	0.96	3.56	3.11	0.00	10.74	0.80	1.41	4.97	0.12	0.69	0.62	0.035	17.07	0.45	0.30	5432.7457	5.4327
8.882	0.85	2.72	3.11	0.00	10.15	0.74	1.22	4.89	0.07	0.54	0.87	0.014	9.65	0.48	0.32	5432.8478	5.4328
8.909	0.68	4.45	6.05	0.10	15.54	0.76	1.88	4.16	0.07	0.60	1.20	0.011	12.12	0.84	0.31	5432.9512	5.4330
8.936	0.80	3.09	3.04	0.10	7.97	0.79	1.60	3.84	0.08	0.59	0.50	0.008	3.87	0.59	0.35	5433.057	5.4331
8.963	0.98	3.00	2.24	0.00	5.96	0.80	1.60	4.14	0.09	0.69	0.38	0.015	3.69	0.12	0.30	5433.1704	5.4332
8.990	1.23	2.54	1.82	0.10	9.54	0.78	1.64	4.30	0.08	0.68	0.26	0.005	6.88	0.21	0.27	5433.2898	5.4333
9.017	0.91	3.00	1.89	0.10	5.81	0.78	1.73	4.58	0.10	0.51	0.28	0.024	8.82	0.40	0.22	5433.4126	5.4334
9.044	1.19	2.09	1.98	0.00	8.45	0.79	1.44	5.29	0.12	0.65	0.27	0.025	4.30	0.42	0.25	5433.5363	5.4335
9.071	0.92	2.07	2.54	0.32	7.80	0.80	1.14	5.56	0.10	0.60	0.48	0.008	6.89	0.31	0.24	5433.6583	5.4337
9.098	0.99	1.64	2.78	0.00	5.89	0.76	1.08	5.23	0.10	0.44	0.41	0.011	5.39	0.24	0.32	5433.7759	5.4338
9.125	0.70	2.74	2.07	0.11	9.45	0.79	0.95	4.95	0.08	0.54	0.45	0.049	6.12	0.31	0.30	5433.8866	5.4339
9.152	0.91	1.82	3.26	0.11	5.42	0.79	1.02	4.82	0.11	0.88	0.35	0.002	5.65	0.25	0.28	5433.9879	5.4340
9.179	0.81	2.25	2.71	0.00	5.91	0.77	1.13	4.60	0.08	0.63	0.56	0.000	11.35	0.58	0.32	5434.0813	5.4341
9.206	1.06	2.04	1.93	0.00	6.26	0.79	1.27	5.16	0.06	0.78	0.39	0.023	11.86	0.40	0.33	5434.1722	5.4342
9.233	0.67	3.31	2.06	0.22	6.10	0.75	1.40	4.54	0.11	0.86	0.24	0.018	7.35	0.22	0.26	5434.2607	5.4343
9.260	1.04	2.80	1.53	0.22	38.14	0.81	1.25	4.39	0.13	0.73	0.27	0.018	4.27	0.12	0.27	5434.3468	5.4343
9.287	1.00	1.94	3.32	0.11	5.39	0.77	1.07	4.72	0.11	0.86	0.25	0.025	7.29	0.25	0.30	5434.4307	5.4344
9.315	1.49	2.60	3.17	0.00	9.10	0.77	1.46	5.34	0.08	0.69	0.25	0.023	11.45	0.45	0.37	5434.5153	5.4345
9.342	0.90	2.19	2.71	0.00	7.39	0.70	1.61	4.09	0.10	0.96	0.35	0.011	7.91	0.37	0.26	5434.5947	5.4346
9.369	1.14	1.84	4.66	0.00	6.29	0.76	1.33	5.22	0.10	0.56	0.23	0.032	12.45	0.36	0.28	5434.6721	5.4347
9.396	1.77	2.77	8.58	0.00	8.64	0.84	1.18	6.14	0.13	0.72	0.48	0.020	13.01	0.31	0.29	5434.7474	5.4347
9.423	0.93	3.07	2.95	0.11	6.93	0.77	1.08	5.39	0.12	0.74	0.27	0.054	8.21	0.12	0.41	5434.8208	5.4348
9.450	1.19	2.52	2.44	0.00	6.35	0.77	1.36	5.26	0.11	0.69	0.26	0.005	9.17	0.15	0.29	5434.8922	5.4349
9.477	1.10	2.26	2.87	0.11	5.93	0.80	1.31	5.55	0.11	0.64	0.21	0.044	6.70	0.32	0.27	5434.9619	5.4350
9.504	0.64	1.85	1.54	0.11	4.81	0.78	1.30	5.55	0.09	0.55	0.33	0.044	6.66	0.00	0.23	5435.0298	5.4350
9.531	1.16	5.64	15.01	0.00	27.19	0.70	1.60	5.75	0.09	0.86	0.62	0.035	176.55	1.70	0.31	5435.0964	5.4351
9.558	1.01	2.42	2.04	0.00	8.47	0.79	1.30	5.24	0.11	0.59	0.71	0.125	14.42	0.13	0.33	5435.1618	5.4352
9.585	1.35	4.65	2.12	0.00	15.33	0.83	1.30	6.01	0.11	0.68	0.65	0.009	9.39	0.66	0.42	5435.2261	5.4352
9.612	0.89	3.15	4.76	0.00	11.69	0.72	1.22	5.15	0.10	0.92	0.33	0.011	6.93	0.44	0.49	5435.2893	5.4353
9.639	1.24	2.51	3.48	0.00	3.01	0.69	1.20	5.36	0.09	0.55	0.32	0.031	15.98	0.25	0.42	5435.3515	5.4354
9.666	0.87	1.82	3.65	0.00	5.79	0.80	0.94	5.32	0.10	0.77	0.38	0.069	12.77	0.56	0.32	5435.4127	5.4354
9.693	1.05	2.37	3.09	0.11	4.03	0.76	0.91	5.54	0.12	0.73	0.24	0.084	14.71	0.51	0.34	5435.4729	5.4355
9.720	0.81	2.15	2.43	0.00	4.55	0.75	1.15	5.66	0.11	0.78	0.25	0.030	14.22	0.62	0.39	5435.5322	5.4355
9.747		2.13	2.80	0.00	9.62	0.72	1.19	4.92	0.10	0.72	0.30	0.015	12.97	0.51	0.28	5435.5907	5.4356
9.774	2.14	3.29	6.41	0.22	10.93	0.73	1.33	5.66	0.12	0.64	0.65	0.032	13.81	0.43	0.28	5435.6483	5.4356
