Distance (mm)	Ba/Ca (uM/M)	Cu/Ca (uM/M)	Ni/Ca  (uM/M)	Co/Ca (uM/M)	Zn/Ca (uM/M)	Sr/Ca  (mM/M)	P/Ca (mM/M)	Mg/Ca (mM/M)	U/Ca (uM/M)	Br/Ca (mM/m)	Pb/Ca (uM/M)	Al/Ca  (mM/M)	Fe/Ca (uM/M)	Mn/Ca  (uM/M)	Na/Ca  (mM/M)	Age (yrs BP)	Age (kyr BP)
3.093	1.33	4.13	6.50	0.00	8.43	0.82	1.66	4.89	0.12	0.78	0.57	0.056	13.32	0.48	0.45	5419.0945	5.4191
3.120	1.18	4.43	10.33	0.00	9.92	0.74	1.38	4.82	0.09	0.84	0.64	0.113	38.38	0.50	0.25	5419.1935	5.4192
3.147	0.60	2.88	8.16	0.00	9.96	0.80	1.41	5.11	0.11	0.91	0.37	0.085	13.36	0.39	0.40	5419.2871	5.4193
3.174	1.15	2.46	3.15	0.22	5.35	0.80	1.06	5.46	0.17	0.94	0.53	0.025	11.80	0.30	0.28	5419.3756	5.4194
3.201	0.66	3.04	5.80	0.00	6.55	0.76	1.03	5.21	0.14	0.77	0.36	0.035	14.52	0.25	0.33	5419.4599	5.4195
3.228	1.32	3.40	5.69	0.00	6.13	0.89	0.88	6.62	0.15	0.67	0.40	0.022	26.16	0.28	0.38	5419.5404	5.4195
3.255	1.43	2.28	4.56	0.00	5.64	0.91	0.72	7.07	0.17	0.62	0.60	0.059	11.68	0.24	0.39	5419.6178	5.4196
3.282	2.14	4.34	6.36	0.11	10.39	0.88	0.75	7.12	0.13	0.68	0.62	0.039	40.39	0.34	0.41	5419.6927	5.4197
3.309	1.02	4.79	6.04	0.12	14.98	0.90	0.93	7.23	0.14	0.68	0.63	0.029	17.71	0.18	0.45	5419.7657	5.4198
3.336	1.50	4.13	4.01	0.00	7.55	0.90	1.01	6.65	0.15	0.66	0.58	0.087	12.89	0.73	0.43	5419.8373	5.4198
3.363		4.30	4.79	0.23	7.28	0.87	1.20	5.81	0.09	0.79	0.55	0.048	14.98	0.65	0.47	5419.9083	5.4199
3.390	1.23	6.85	22.66	0.00	16.22	0.84	1.17	4.69	0.13	0.77	1.51	0.052	22.13	0.61	0.29	5419.9791	5.4200
3.417	1.95	6.46	17.84	0.10	18.62	0.84	1.43	5.00	0.11	0.72	0.82	0.229	64.56	1.44	0.46	5420.05	5.4201
3.444	1.09	5.36	6.35	0.10	10.95	0.79	1.64	4.48	0.08	0.73	0.84	0.046	19.03	0.33	0.35	5420.12	5.4201
3.472	1.32	5.54	5.90	0.00	10.98	0.90	1.64	4.13	0.10	0.79	0.65	0.011	9.52	0.53	0.38	5420.1917	5.4202
3.499	1.15	4.26	3.54	0.11	8.86	0.81	2.01	4.19	0.09	0.67	0.76	0.014	7.03	0.33	0.34	5420.2599	5.4203
3.526	1.14	4.53	6.35	0.10	12.24	0.79	1.60	4.44	0.11	0.77	0.51	0.051	11.34	0.63	0.30	5420.3272	5.4203
3.553	0.86	4.00	4.10	0.11	5.80	0.84	1.53	5.60	0.11	0.87	0.57	0.024	19.16	0.45	0.31	5420.3936	5.4204
3.580	1.22	4.43	12.84	0.00	8.51	0.81	1.33	5.72	0.12	1.00	0.38	0.048	44.43	0.98	0.37	5420.4591	5.4205
3.607	1.19	3.38	10.92	0.00	8.14	0.82	1.02	5.84	0.11	0.72	0.37	0.052	18.30	0.52	0.32	5420.5237	5.4205
3.634	1.52	4.00	10.88	0.00	9.68	0.85	1.10	5.90	0.12	0.67	1.04	0.163	23.22	0.63	0.34	5420.5873	5.4206
3.661	2.01	6.75	15.93	0.11	14.67	0.84	0.95	5.94	0.14	0.96	0.62	0.114	18.95	0.89	0.36	5420.65	5.4207
3.688	1.34	5.13	11.02	0.11	9.16	0.86	1.14	5.76	0.11	0.90	0.68	0.242	12.03	0.60	0.37	5420.7118	5.4207
3.715	1.45	16.85		0.00	29.61	0.78	1.27	6.27	0.11	1.01	0.96	0.226	158.12	1.38	0.49	5420.7727	5.4208
3.742	1.22	5.39	18.50	0.23	10.95	0.83	1.24	5.52	0.13	0.94	0.42	0.147	35.39	0.85	0.46	5420.8326	5.4208
3.769	1.20	3.73	8.15	0.11	10.23	0.80	1.09	5.30	0.14	0.96	0.33	0.074	29.37	0.39	0.35	5420.8916	5.4209
3.796	1.18	2.81	3.20	0.10	5.08	0.75	1.02	5.45	0.12	0.96	0.35	0.047	10.08	0.19	0.37	5420.9496	5.4209
